condition,epoch,window,observable,k,metric,value
autonomous_istdp,0,prep,pr,,participation_ratio,9.632025846745712
autonomous_istdp,0,exec,pr,,participation_ratio,52.82575127163855
autonomous_istdp,0,exec,jpca,4,r2_skew,0.022793415453747468
autonomous_istdp,0,exec,jpca,4,r2_full,0.02353627266593117
autonomous_istdp,0,exec,jpca,4,omega_rad_per_bin,0.02716709126596003
autonomous_istdp,0,exec,jpca,4,freq_hz,0.4323776864406196
autonomous_istdp,0,exec,jpca,4,direction_consistency,0.625
autonomous_istdp,0,exec,jpca,4,mean_tangling,0.3377232255917402
autonomous_istdp,0,exec,jpca,4,shuffle_r2_mean,0.047673203284001084
autonomous_istdp,0,exec,jpca,4,shuffle_r2_std,0.027428064782992003
autonomous_istdp,0,exec,jpca,4,r2_above_shuffle,-0.024879787830253616
autonomous_istdp,0,exec,jpca,6,r2_skew,0.06335204591507637
autonomous_istdp,0,exec,jpca,6,r2_full,0.06599475034079805
autonomous_istdp,0,exec,jpca,6,omega_rad_per_bin,0.05780233771234398
autonomous_istdp,0,exec,jpca,6,freq_hz,0.9199527769186622
autonomous_istdp,0,exec,jpca,6,direction_consistency,0.875
autonomous_istdp,0,exec,jpca,6,mean_tangling,0.20858115296698151
autonomous_istdp,0,exec,jpca,6,shuffle_r2_mean,0.08040026382750701
autonomous_istdp,0,exec,jpca,6,shuffle_r2_std,0.02034210777642003
autonomous_istdp,0,exec,jpca,6,r2_above_shuffle,-0.017048217912430635
autonomous_istdp,0,exec,jpca,10,r2_skew,0.14692695904837116
autonomous_istdp,0,exec,jpca,10,r2_full,0.15419876589818415
autonomous_istdp,0,exec,jpca,10,omega_rad_per_bin,0.08437985811619779
autonomous_istdp,0,exec,jpca,10,freq_hz,1.3429471516585663
autonomous_istdp,0,exec,jpca,10,direction_consistency,0.875
autonomous_istdp,0,exec,jpca,10,mean_tangling,0.13521244844400293
autonomous_istdp,0,exec,jpca,10,shuffle_r2_mean,0.14923505269837764
autonomous_istdp,0,exec,jpca,10,shuffle_r2_std,0.02901740245011083
autonomous_istdp,0,exec,jpca,10,r2_above_shuffle,-0.0023080936500064764
autonomous_istdp,0,prep_vs_exec,orthogonality,6,mean_angle_deg,80.82072219803631
autonomous_istdp,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
autonomous_istdp,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
autonomous_istdp,0,prep_vs_exec,orthogonality,6,z_vs_null,-9.28937090844206
autonomous_istdp,0,prep,cv_stability,6,fold_subspace_angle_deg,48.86673963638665
autonomous_istdp,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp,0,exec,cv_stability,6,fold_subspace_angle_deg,80.90579105605947
autonomous_istdp,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp,50,prep,pr,,participation_ratio,12.804847478762039
autonomous_istdp,50,exec,pr,,participation_ratio,51.065897379660264
autonomous_istdp,50,exec,jpca,4,r2_skew,0.01863556961930035
autonomous_istdp,50,exec,jpca,4,r2_full,0.020240137725147433
autonomous_istdp,50,exec,jpca,4,omega_rad_per_bin,0.02693512263361408
autonomous_istdp,50,exec,jpca,4,freq_hz,0.4286857909926071
autonomous_istdp,50,exec,jpca,4,direction_consistency,0.875
autonomous_istdp,50,exec,jpca,4,mean_tangling,0.24921735265064668
autonomous_istdp,50,exec,jpca,4,shuffle_r2_mean,0.04127153285160386
autonomous_istdp,50,exec,jpca,4,shuffle_r2_std,0.01748394351728722
autonomous_istdp,50,exec,jpca,4,r2_above_shuffle,-0.022635963232303505
autonomous_istdp,50,exec,jpca,6,r2_skew,0.08741737365836544
autonomous_istdp,50,exec,jpca,6,r2_full,0.08926548759684538
autonomous_istdp,50,exec,jpca,6,omega_rad_per_bin,0.07034155211115857
autonomous_istdp,50,exec,jpca,6,freq_hz,1.1195205723247033
autonomous_istdp,50,exec,jpca,6,direction_consistency,0.875
autonomous_istdp,50,exec,jpca,6,mean_tangling,0.16450711986581837
autonomous_istdp,50,exec,jpca,6,shuffle_r2_mean,0.07335866728533139
autonomous_istdp,50,exec,jpca,6,shuffle_r2_std,0.02211785215901622
autonomous_istdp,50,exec,jpca,6,r2_above_shuffle,0.014058706373034052
autonomous_istdp,50,exec,jpca,10,r2_skew,0.17177675888165245
autonomous_istdp,50,exec,jpca,10,r2_full,0.17734393425672146
autonomous_istdp,50,exec,jpca,10,omega_rad_per_bin,0.10417928790426546
autonomous_istdp,50,exec,jpca,10,freq_hz,1.6580648637757551
autonomous_istdp,50,exec,jpca,10,direction_consistency,1.0
autonomous_istdp,50,exec,jpca,10,mean_tangling,0.12130436391584132
autonomous_istdp,50,exec,jpca,10,shuffle_r2_mean,0.1430823327198176
autonomous_istdp,50,exec,jpca,10,shuffle_r2_std,0.02492343342764941
autonomous_istdp,50,exec,jpca,10,r2_above_shuffle,0.028694426161834846
autonomous_istdp,50,prep_vs_exec,orthogonality,6,mean_angle_deg,80.69631030189242
autonomous_istdp,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
autonomous_istdp,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
autonomous_istdp,50,prep_vs_exec,orthogonality,6,z_vs_null,-9.519504644485533
autonomous_istdp,50,prep,cv_stability,6,fold_subspace_angle_deg,47.57133152350744
autonomous_istdp,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp,50,exec,cv_stability,6,fold_subspace_angle_deg,79.68533528081244
autonomous_istdp,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp,100,prep,pr,,participation_ratio,16.315464332415978
autonomous_istdp,100,exec,pr,,participation_ratio,52.89280390737818
autonomous_istdp,100,exec,jpca,4,r2_skew,0.04387283860153812
autonomous_istdp,100,exec,jpca,4,r2_full,0.0461647101078988
autonomous_istdp,100,exec,jpca,4,omega_rad_per_bin,0.04117343587683756
autonomous_istdp,100,exec,jpca,4,freq_hz,0.6552955843875884
autonomous_istdp,100,exec,jpca,4,direction_consistency,0.875
autonomous_istdp,100,exec,jpca,4,mean_tangling,0.3010306522286041
autonomous_istdp,100,exec,jpca,4,shuffle_r2_mean,0.054121294338650386
autonomous_istdp,100,exec,jpca,4,shuffle_r2_std,0.029315556326845644
autonomous_istdp,100,exec,jpca,4,r2_above_shuffle,-0.010248455737112264
autonomous_istdp,100,exec,jpca,6,r2_skew,0.06296920762188762
autonomous_istdp,100,exec,jpca,6,r2_full,0.06514967512217507
autonomous_istdp,100,exec,jpca,6,omega_rad_per_bin,0.05087001094711729
autonomous_istdp,100,exec,jpca,6,freq_hz,0.8096213697372545
autonomous_istdp,100,exec,jpca,6,direction_consistency,1.0
autonomous_istdp,100,exec,jpca,6,mean_tangling,0.19883922448536082
autonomous_istdp,100,exec,jpca,6,shuffle_r2_mean,0.08356961862574383
autonomous_istdp,100,exec,jpca,6,shuffle_r2_std,0.031214406239215658
autonomous_istdp,100,exec,jpca,6,r2_above_shuffle,-0.020600411003856206
autonomous_istdp,100,exec,jpca,10,r2_skew,0.11671365243049936
autonomous_istdp,100,exec,jpca,10,r2_full,0.12056183515917074
autonomous_istdp,100,exec,jpca,10,omega_rad_per_bin,0.08230916558137116
autonomous_istdp,100,exec,jpca,10,freq_hz,1.309991056404452
autonomous_istdp,100,exec,jpca,10,direction_consistency,1.0
autonomous_istdp,100,exec,jpca,10,mean_tangling,0.14326929806865593
autonomous_istdp,100,exec,jpca,10,shuffle_r2_mean,0.14330445137370007
autonomous_istdp,100,exec,jpca,10,shuffle_r2_std,0.023994766175649662
autonomous_istdp,100,exec,jpca,10,r2_above_shuffle,-0.02659079894320071
autonomous_istdp,100,prep_vs_exec,orthogonality,6,mean_angle_deg,81.36354885179836
autonomous_istdp,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
autonomous_istdp,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
autonomous_istdp,100,prep_vs_exec,orthogonality,6,z_vs_null,-8.285264952933169
autonomous_istdp,100,prep,cv_stability,6,fold_subspace_angle_deg,48.84785878708437
autonomous_istdp,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
autonomous_istdp,100,exec,cv_stability,6,fold_subspace_angle_deg,81.28157453793332
autonomous_istdp,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
